MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:7f:28:83:82:03,MXD7G,[WPA2-PSK-TKIP+CCMP],2013-08-28 14:27:50,6,-94,39.99483165,-75.10500044,-38.0999984741,4,WIFI
84:1b:5e:d3:1c:c5,NETGEAR20,[WPA2-PSK-CCMP][WPS][WPS],2013-08-28 14:30:50,6,-95,39.99506665,-75.10515369,-28.6000003815,4,WIFI
e8:3e:fc:d2:d2:50,HOME-D252,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:30:52,1,-96,39.99513245,-75.10523138,-24.1000003815,4,WIFI
ee:3e:fc:d2:d2:50,xfinitywifi,,2013-08-28 14:30:52,1,-95,39.99513245,-75.10523138,-24.1000003815,4,WIFI
cc:b2:55:3c:67:56,ccb2553c6754,[WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:30:56,6,-98,39.99529937,-75.10536905,-22.3999996185,8,WIFI
00:a0:0a:ae:74:1d,VSSEPTA5547,[WPA2-PSK-CCMP-preauth],2013-08-28 14:30:58,11,-96,39.99535102,-75.10542601,-22.2000007629,8,WIFI
00:7f:28:f6:86:87,3AAM9,[WEP],2013-08-28 14:30:58,6,-93,39.99535102,-75.10542601,-22.2000007629,8,WIFI
310410_2968_142087252,AT&T,HSDPA;us,2013-08-28 14:30:58,0,-79,39.99535102,-75.10542601,-22.2000007629,8,GSM
00:18:3a:e1:8f:6d,08FX11003156,[WEP],2013-08-28 14:31:42,6,-97,39.99556933,-75.10554471,-21.7999992371,18,WIFI
310410_2968_142087254,AT&T,HSDPA;us,2013-08-28 14:31:53,0,-87,39.99510372,-75.10630948,-24.6000003815,15,GSM
b8:9b:c9:42:91:68,HOME-916B,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:31:55,11,-97,39.99493931,-75.10656327,-24.2999992371,7,WIFI
20:10:7a:7a:31:f4,WiFiRSU_c4dfc,[WPA2-PSK-CCMP],2013-08-28 14:31:59,6,-90,39.99471291,-75.10700751,-25.7000007629,4,WIFI
e0:46:9a:bb:79:c4,bestfitdoor,[WPA2-PSK-CCMP],2013-08-28 14:32:01,1,-95,39.99459542,-75.10719611,-21.2999992371,4,WIFI
c0:c1:c0:9c:79:e2,Freshstart,[WPA2-PSK-CCMP][WPS][WPS],2013-08-28 14:32:03,11,-88,39.99450504,-75.10738315,-23.3999996185,4,WIFI
310410_2968_142087254,AT&T,HSDPA;us,2013-08-28 14:32:03,0,-83,39.99450504,-75.10738315,-23.3999996185,4,GSM
310410_2968_142087252,AT&T,HSDPA;us,2013-08-28 14:32:05,0,-77,39.99443354,-75.10752793,-24,5,GSM
00:18:3a:d2:34:f0,artyembroidery,[WEP],2013-08-28 14:32:07,6,-89,39.99437569,-75.10763276,-22.8999996185,5,WIFI
c0:c1:c0:a6:f1:de,FancyMagnolia,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:32:25,11,-92,39.99427603,-75.10780739,-21.8999996185,7,WIFI
c0:c1:c0:a6:f1:df,FancyMagnolia-guest,,2013-08-28 14:32:25,11,-92,39.99427603,-75.10780739,-21.8999996185,7,WIFI
310410_2968_142091249,AT&T,HSDPA;us,2013-08-28 14:32:25,0,-75,39.99427603,-75.10780739,-21.8999996185,7,GSM
00:12:0e:86:15:77,07B408788333,[WEP],2013-08-28 14:32:26,6,-95,39.99422326,-75.10792869,-21.7999992371,6,WIFI
310410_2968_142091251,AT&T,HSDPA;us,2013-08-28 14:32:26,0,-79,39.99422326,-75.10792869,-21.7999992371,6,GSM
e0:91:f5:5e:3e:38,sharon-PC-Wireless,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:32:32,1,-96,39.99387075,-75.10851496,-22.6000003815,6,WIFI
30:46:9a:18:e4:18,JOSEMARI-PC-Wireless,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:32:34,2,-92,39.99378064,-75.10871679,-22,8,WIFI
310410_2968_142091251,AT&T,HSDPA;us,2013-08-28 14:32:38,0,-81,39.99359977,-75.10910202,-22.1000003815,12,GSM
02:2b:3b:ef:9a:e0,HP039592,[IBSS],2013-08-28 14:32:55,10,-100,39.99340339,-75.10944992,-20.1000003815,7,WIFI
310410_2968_141698094,AT&T,HSDPA;us,2013-08-28 14:32:57,0,-93,39.99336554,-75.10952292,-19.7999992371,9,GSM
00:26:62:80:e3:06,5J115,[WEP],2013-08-28 14:32:59,1,-89,39.99328185,-75.10962335,-19,7,WIFI
de:7a:f3:d5:3d:55,HPEECA26,[IBSS],2013-08-28 14:33:05,1,-99,39.99313356,-75.10996474,-18.3999996185,7,WIFI
78:cd:8e:2b:0c:08,HOME-0C08,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:33:05,11,-95,39.99313356,-75.10996474,-18.3999996185,7,WIFI
82:b0:e4:f1:9e:38,HP07334F,[IBSS],2013-08-28 14:33:05,1,-95,39.99313356,-75.10996474,-18.3999996185,7,WIFI
20:e5:2a:52:f5:63,A&Fphamacy,[WPA2-PSK-CCMP],2013-08-28 14:33:05,11,-92,39.99313356,-75.10996474,-18.3999996185,7,WIFI
84:1b:5e:12:c8:6f,HOPE,[WPA-PSK-TKIP],2013-08-28 14:33:07,11,-95,39.99315934,-75.11002727,-20,7,WIFI
5a:64:34:dd:a6:ee,HP03325A,[IBSS],2013-08-28 14:33:07,1,-95,39.99315934,-75.11002727,-20,7,WIFI
b2:b2:72:6c:26:ca,HP03958E,[IBSS],2013-08-28 14:33:13,1,-95,39.99307775,-75.11007277,-17.7000007629,8,WIFI
310410_2968_142091251,AT&T,HSDPA;us,2013-08-28 14:33:21,0,-79,39.99310734,-75.11010663,-16.8999996185,15,GSM
c4:01:7c:02:43:78,LAMetroPCS,,2013-08-28 14:33:47,1,-94,39.99309783,-75.11011783,-16.8999996185,12,WIFI
20:10:7a:c1:eb:48,MOTOROLA-B507B,[WPA2-PSK-CCMP][WPS][WPS],2013-08-28 14:33:55,1,-90,39.99274515,-75.1108031,-17.3999996185,10,WIFI
310410_2968_142091251,AT&T,HSDPA;us,2013-08-28 14:33:59,0,-83,39.99249005,-75.11135489,-15.6999998093,9,GSM
00:22:3f:99:ac:1c,AAAA,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:05,3,-95,39.99219142,-75.11202019,-16.2999992371,7,WIFI
00:1d:d4:eb:b3:10,HOME-B312,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:05,11,-87,39.99219142,-75.11202019,-16.2999992371,7,WIFI
06:1d:d4:eb:b3:10,xfinitywifi,,2013-08-28 14:34:05,11,-86,39.99219142,-75.11202019,-16.2999992371,7,WIFI
ac:81:12:c1:7e:f6,WiFiRSU_e2,[WPA2-PSK-TKIP+CCMP],2013-08-28 14:34:07,9,-95,39.99209195,-75.11223989,-16.2000007629,8,WIFI
310410_2968_142091251,AT&T,HSDPA;us,2013-08-28 14:34:09,0,-85,39.99197878,-75.11244782,-19.1000003815,8,GSM
00:26:62:d7:30:5c,BN9E8,[WEP],2013-08-28 14:34:17,11,-95,39.99158371,-75.11334836,-19.2000007629,9,WIFI
310410_2968_142091251,AT&T,HSDPA;us,2013-08-28 14:34:19,0,-89,39.99148503,-75.11353668,-18.5,8,GSM
00:7f:28:97:1c:c5,5N32J,[WPA2-PSK-TKIP+CCMP],2013-08-28 14:34:21,11,-95,39.9913913,-75.11376041,-19.2000007629,10,WIFI
44:32:c8:8b:c7:64,HOME-C764,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:21,11,-94,39.9913913,-75.11376041,-19.2000007629,10,WIFI
00:26:f2:f5:72:67,Freshstart,[WPS][WPS][WEP],2013-08-28 14:34:23,4,-91,39.99128892,-75.11397557,-18.6000003815,9,WIFI
20:10:7a:c9:3d:c1,Pearl,[WPA2-PSK-CCMP],2013-08-28 14:34:25,8,-95,39.99119739,-75.11417821,-18.7999992371,8,WIFI
c4:39:3a:1c:c9:f8,HOME-C9F8,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:29,1,-90,39.99105877,-75.11463524,-18.8999996185,7,WIFI
310410_2968_142091251,AT&T,HSDPA;us,2013-08-28 14:34:29,0,-89,39.99105877,-75.11463524,-18.8999996185,7,GSM
30:46:9a:16:cd:0e,paul,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:33,2,-94,39.99088694,-75.11497541,-19.2999992371,6,WIFI
310410_2968_141698344,AT&T,HSDPA;us,2013-08-28 14:34:33,0,-93,39.99088694,-75.11497541,-19.2999992371,6,GSM
cc:b2:55:3c:7c:f8,ccb2553c7cf6,[WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:37,11,-90,39.99072548,-75.11527462,-19.2999992371,7,WIFI
20:10:7a:f2:a7:4a,WiFiRSU_ce262,[WPA2-PSK-CCMP],2013-08-28 14:34:39,7,-98,39.99071891,-75.11531207,-19.2000007629,7,WIFI
00:1d:d3:2d:0b:d0,brown83,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:39,6,-94,39.99071891,-75.11531207,-19.2000007629,7,WIFI
06:1d:d3:2d:0b:d0,xfinitywifi,,2013-08-28 14:34:39,6,-89,39.99071891,-75.11531207,-19.2000007629,7,WIFI
ac:81:12:64:5f:54,WiFiRSU_62,[WPA2-PSK-TKIP+CCMP],2013-08-28 14:34:41,9,-97,39.9907208,-75.11538924,-18.7000007629,6,WIFI
310410_2982_141698043,AT&T,HSDPA;us,2013-08-28 14:34:43,0,-91,39.99073206,-75.11540262,-19,6,GSM
e8:89:2c:b7:62:10,HOME-6212,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:50,1,-95,39.9907026,-75.11542683,-18.7999992371,6,WIFI
ee:89:2c:b7:62:10,xfinitywifi,,2013-08-28 14:34:50,1,-94,39.9907026,-75.11542683,-18.7999992371,6,WIFI
ee:3e:fc:d2:6b:d0,xfinitywifi,,2013-08-28 14:34:50,6,-94,39.9907026,-75.11542683,-18.7999992371,6,WIFI
e8:3e:fc:d2:6b:d0,HOME-6BD2,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:50,6,-93,39.9907026,-75.11542683,-18.7999992371,6,WIFI
00:1d:cf:44:27:30,HOME-2732,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:34:54,11,-96,39.99065859,-75.11555376,-19.3999996185,6,WIFI
00:26:f2:9b:ee:5a,MIKE-HP_Network,[WPA2-PSK-CCMP][WPS][WPS],2013-08-28 14:34:56,3,-94,39.99061986,-75.11567681,-19.7000007629,6,WIFI
f8:e4:fb:01:80:23,XX262,[WPA2-PSK-CCMP],2013-08-28 14:34:58,11,-94,39.9905738,-75.11580662,-20,6,WIFI
00:7f:28:8b:89:6f,2MYXG,[WPA2-PSK-TKIP+CCMP],2013-08-28 14:35:02,6,-87,39.99041896,-75.11613815,-20.3999996185,6,WIFI
06:1d:d5:77:e5:80,xfinitywifi,,2013-08-28 14:35:04,1,-96,39.99036279,-75.11632909,-20.5,5,WIFI
00:1d:d5:bd:d0:60,HOME-D062,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:35:06,11,-95,39.99029031,-75.11648207,-20.3999996185,5,WIFI
06:1d:d5:bd:d0:60,xfinitywifi,,2013-08-28 14:35:06,11,-95,39.99029031,-75.11648207,-20.3999996185,5,WIFI
310410_2982_141698043,AT&T,HSDPA;us,2013-08-28 14:35:06,0,-91,39.99029031,-75.11648207,-20.3999996185,5,GSM
28:10:7b:a6:b3:73,28107ba6b371,[WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:35:10,6,-97,39.99017608,-75.11675921,-20.7000007629,6,WIFI
06:1d:d6:68:2a:70,xfinitywifi,,2013-08-28 14:35:12,2,-98,39.99013886,-75.11686065,-21,5,WIFI
00:26:b8:44:84:c9,jinfiols888,[WPA-PSK-CCMP][WPA2-PSK-CCMP],2013-08-28 14:35:12,6,-92,39.99013886,-75.11686065,-21,5,WIFI
e8:89:2c:d6:ff:50,HOME-FF52,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:35:14,6,-94,39.99012649,-75.1169457,-20.8999996185,5,WIFI
00:1d:d6:a1:0b:50,HOME-0B52,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:35:14,11,-94,39.99012649,-75.1169457,-20.8999996185,5,WIFI
ee:89:2c:d6:ff:50,xfinitywifi,,2013-08-28 14:35:14,6,-93,39.99012649,-75.1169457,-20.8999996185,5,WIFI
06:1d:d6:a1:0b:50,xfinitywifi,,2013-08-28 14:35:14,11,-93,39.99012649,-75.1169457,-20.8999996185,5,WIFI
c0:c1:c0:a6:3d:2a,pistoldelphia-guest,,2013-08-28 14:35:18,11,-93,39.99008826,-75.11704035,-20.2999992371,5,WIFI
c0:c1:c0:a6:3d:28,pistoldelphia,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:35:18,11,-92,39.99008826,-75.11704035,-20.2999992371,5,WIFI
310410_2982_141698094,AT&T,HSDPA;us,2013-08-28 14:35:21,0,-89,39.99006753,-75.11709676,-19,6,GSM
310410_2982_141698344,AT&T,HSDPA;us,2013-08-28 14:35:23,0,-87,39.99005952,-75.1171211,-19.7000007629,6,GSM
cc:a4:62:7d:10:40,HOME-1042,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:35:25,1,-90,39.99004708,-75.11711031,-19.1000003815,9,WIFI
